scenario_id,length,has_crash,noise_sigma,baseline_low,drift_min,drift_max,crash_start,ground_truth_crashed,threshold_alert_time,aump_alert_time@0.5,lead_time@0.5,false_alarm@0.5,aump_alert_time@0.6,lead_time@0.6,false_alarm@0.6,aump_alert_time@0.7,lead_time@0.7,false_alarm@0.7,aump_alert_time@0.8,lead_time@0.8,false_alarm@0.8,aump_alert_time@0.9,lead_time@0.9,false_alarm@0.9
56,30,True,1.5,65,0.543211841030137,2.117499136883748,11,True,24.0,17.0,7.0,False,23.0,1.0,False,23.0,1.0,False,24.0,0.0,False,25.0,-1.0,False
57,30,True,1.5,75,0.4675585151097024,2.7784335965593314,17,True,23.0,21.0,2.0,False,21.0,2.0,False,22.0,1.0,False,22.0,1.0,False,22.0,1.0,False
58,30,True,2.0,65,0.7776982376673243,2.110914978125915,11,True,17.0,14.0,3.0,False,14.0,3.0,False,16.0,1.0,False,18.0,-1.0,False,18.0,-1.0,False
59,30,False,1.0,70,0.6050075726589843,2.3182937221000963,-1,False,,,,False,,,False,,,False,,,False,,,False
60,30,True,1.5,65,0.7752796174651948,1.9861655667081575,15,True,10.0,3.0,7.0,False,8.0,2.0,False,16.0,-6.0,False,18.0,-8.0,False,19.0,-9.0,False
61,30,True,2.5,70,0.6946938069192501,2.46700111981633,16,True,27.0,23.0,4.0,False,23.0,4.0,False,23.0,4.0,False,23.0,4.0,False,28.0,-1.0,False
62,30,True,1.5,75,0.7498659527559981,2.6304951247509445,16,False,,28.0,,True,28.0,,True,29.0,,True,,,False,,,False
63,30,False,2.5,70,0.6724585682762039,2.2457234523588405,-1,False,,,,False,,,False,,,False,,,False,,,False
64,30,True,2.0,70,0.7572418201302201,2.078343351221451,18,False,,6.0,,True,6.0,,True,6.0,,True,8.0,,True,,,False
65,30,False,2.0,70,0.3457164058451503,2.3670038705829306,-1,False,,23.0,,True,23.0,,True,,,False,,,False,,,False
66,30,True,2.0,65,0.4739877627194039,2.5318968229893044,21,True,14.0,12.0,2.0,False,12.0,2.0,False,13.0,1.0,False,13.0,1.0,False,14.0,0.0,False
67,30,True,2.0,65,0.3139671463433188,2.455025532085671,11,True,22.0,13.0,9.0,False,13.0,9.0,False,22.0,0.0,False,22.0,0.0,False,,,False
68,30,False,1.5,70,0.3874068751844924,2.1692130419752744,-1,False,,,,False,,,False,,,False,,,False,,,False
69,30,True,1.0,75,0.579301640941488,2.850747831800345,10,True,20.0,14.0,6.0,False,15.0,5.0,False,19.0,1.0,False,19.0,1.0,False,21.0,-1.0,False
70,30,True,1.5,75,0.3388141944545786,2.072531051374599,14,True,19.0,18.0,1.0,False,18.0,1.0,False,18.0,1.0,False,19.0,0.0,False,19.0,0.0,False
71,30,True,2.0,65,0.7887578574085337,2.685642579039346,19,True,28.0,25.0,3.0,False,26.0,2.0,False,28.0,0.0,False,28.0,0.0,False,28.0,0.0,False
72,30,True,1.5,65,0.7449309447321475,2.2644248238985214,21,True,23.0,14.0,9.0,False,14.0,9.0,False,16.0,7.0,False,24.0,-1.0,False,27.0,-4.0,False
73,30,True,1.0,75,0.7513041042550115,1.7773806335429239,16,False,,,,False,,,False,,,False,,,False,,,False
74,30,False,1.5,70,0.4356189385390347,1.6206806090045625,-1,False,,,,False,,,False,,,False,,,False,,,False
75,30,True,2.0,75,0.7744900163271793,2.522108117584974,10,True,22.0,15.0,7.0,False,15.0,7.0,False,20.0,2.0,False,22.0,0.0,False,23.0,-1.0,False
76,30,False,1.0,70,0.764764050722225,2.881836838140771,-1,False,,,,False,,,False,,,False,,,False,,,False
77,30,True,2.0,75,0.5503206500340856,1.821897516140626,10,False,,22.0,,True,23.0,,True,29.0,,True,,,False,,,False
78,30,True,1.0,70,0.4746493772430227,2.5854030841152595,21,False,,28.0,,True,29.0,,True,29.0,,True,29.0,,True,,,False
79,30,False,1.5,65,0.6817416525401653,1.7371869551449093,-1,False,,,,False,,,False,,,False,,,False,,,False
80,30,True,2.5,70,0.6900459512001538,2.5702808981361254,15,True,18.0,4.0,14.0,False,15.0,3.0,False,16.0,2.0,False,18.0,0.0,False,19.0,-1.0,False
81,30,False,1.5,65,0.35735741788208014,2.1613833526045774,-1,False,,,,False,,,False,,,False,,,False,,,False
82,30,False,1.0,75,0.6608832899095528,1.6544579044701646,-1,False,,,,False,,,False,,,False,,,False,,,False
83,30,True,1.0,70,0.7983947770938791,1.7026988547694608,17,True,26.0,21.0,5.0,False,21.0,5.0,False,21.0,5.0,False,26.0,0.0,False,,,False
84,30,True,1.0,65,0.3283418745434789,1.645188047524762,18,False,,29.0,,True,,,False,,,False,,,False,,,False
85,30,True,1.5,75,0.4983937532373394,2.076535457372755,10,False,,,,False,,,False,,,False,,,False,,,False
86,30,False,2.5,70,0.5667892741387166,1.756807425606878,-1,False,,,,False,,,False,,,False,,,False,,,False
87,30,False,2.5,65,0.3639798975281851,2.272154490644059,-1,False,,,,False,,,False,,,False,,,False,,,False
