scenario_id,length,has_crash,noise_sigma,baseline_low,drift_min,drift_max,crash_start,ground_truth_crashed,threshold_alert_time,aump_alert_time@0.5,lead_time@0.5,false_alarm@0.5,aump_alert_time@0.6,lead_time@0.6,false_alarm@0.6,aump_alert_time@0.7,lead_time@0.7,false_alarm@0.7,aump_alert_time@0.8,lead_time@0.8,false_alarm@0.8,aump_alert_time@0.9,lead_time@0.9,false_alarm@0.9
189,30,True,1.5,70,0.7215383198442724,2.5618891596871958,11,True,14.0,12.0,2.0,False,12.0,2.0,False,13.0,1.0,False,13.0,1.0,False,14.0,0.0,False
190,30,True,1.0,65,0.3354242916733594,2.4347386190452953,20,False,,25.0,,True,26.0,,True,,,False,,,False,,,False
191,30,True,1.0,75,0.5083848222710443,2.7481608011966885,16,True,27.0,19.0,8.0,False,21.0,6.0,False,23.0,4.0,False,28.0,-1.0,False,,,False
192,30,True,1.0,65,0.4161722578870708,1.5562393287905791,11,True,28.0,16.0,12.0,False,17.0,11.0,False,28.0,0.0,False,,,False,,,False
193,30,False,1.0,65,0.4691854228164589,1.9882748788143618,-1,False,,,,False,,,False,,,False,,,False,,,False
194,30,False,1.5,75,0.4488721024725318,2.6038036765284263,-1,False,,,,False,,,False,,,False,,,False,,,False
195,30,True,1.5,75,0.7825379941851243,2.9596396329682637,12,False,,26.0,,True,26.0,,True,,,False,,,False,,,False
196,30,True,1.5,65,0.4701610896812488,2.4535154478141212,18,True,22.0,20.0,2.0,False,20.0,2.0,False,22.0,0.0,False,22.0,0.0,False,25.0,-3.0,False
197,30,False,1.5,75,0.4683383230254866,2.566764707378934,-1,False,,21.0,,True,27.0,,True,,,False,,,False,,,False
198,30,True,1.5,75,0.6701704442902796,2.7559265456344626,16,False,,27.0,,True,,,False,,,False,,,False,,,False
199,30,True,2.5,70,0.743501689224779,2.7089233364265093,21,False,,14.0,,True,28.0,,True,,,False,,,False,,,False
